// Compost colors for justarod. You may add your own colors, change existing ones, or remove colors that aren't needed.
abortion_pill, #ffffff
binding_rope, #b98c3c
bremelanotide, #ffffff
brith_controlling_pill, #ffffff
byt, #cfccb6
cloner_device, #b5d0ff
contract_whip, #b2b1a8
cotton_swab, #c8aa98
electric_shock_controller, #ffffff
estrogen, #e1bfff
excrement, #eeac8e
free_mating, #ffa2ff
frozen_sperm_retrieval_device, #9bccff
growth_agent, #fffffe
hpv_vaccine, #dcffff
iced_tea, #fcb25f
insertion_pedestal, #ffff33
lubricating_book, #ffffff
mole, #c91515
no_mating_plz, #dedaed
penicillin, #b1e796
remote_control, #ffffff
retriever, #fffff1
reverse_growth_agent, #ffd9ee
rod_agent, #ffffff
sanitary_towel, #ffffff
scalpel, #ffffff
shenbao, #3e3633
sperm_retrieval_device, #ffd2ff
sterilization_pills, #f2ffff
uterus, #ff9e91
whip, #f1e6cf
xp_gun, #edffff
